REC_NO,XRAY_RA,XRAY_DEC,LABEL,u_mag_auto,err_u_mag_auto,g_mag_auto,err_g_mag_auto,r_mag_auto,err_r_mag_auto,i_mag_auto,err_i_mag_auto,z_mag_auto,err_z_mag_auto,Separation
1393,333.4831237792969,-0.41592836380004883,1,21.6121,0.0688,20.931,0.0183,20.2042,0.0139,19.8759,0.0128,19.5285,0.0297,1.9421500172791115
1393,333.4831237792969,-0.41592836380004883,0,24.8784,1.3421,22.9278,0.0899,22.58,0.0994,21.4011,0.0542,21.4606,0.1978,9.68930115986329
1396,333.5303649902344,0.12307041883468628,1,20.7762,0.0457,20.5685,0.0153,20.3769,0.0165,20.3655,0.0211,20.2366,0.065,4.378375550081766
1400,333.5514221191406,-0.16963990032672882,1,21.1818,0.0646,20.4733,0.0149,19.5872,0.0107,19.1251,0.0101,18.6559,0.0218,1.9822050242980362
1400,333.5514221191406,-0.16963990032672882,0,28.5398,33.9942,23.8509,0.1559,23.5943,0.1926,23.2036,0.2127,22.3337,0.3745,8.254678158521505
1406,333.5976257324219,0.29150763154029846,0,21.0686,0.055,19.9107,0.0109,19.4274,0.0093,19.1972,0.0102,19.1168,0.0271,8.961748867496283
1406,333.5976257324219,0.29150763154029846,1,21.7884,0.0824,21.8503,0.0309,21.5221,0.0312,21.2045,0.035,21.0758,0.105,1.4342430737253755
1406,333.5976257324219,0.29150763154029846,0,31.6559,388.4581,24.2285,0.1536,22.7537,0.0686,21.1942,0.0316,20.3463,0.0544,9.775744455040813
1406,333.5976257324219,0.29150763154029846,0,23.6864,0.3293,22.5413,0.048,22.1496,0.0482,22.0148,0.0643,21.9552,0.2159,7.050920882559268
1412,333.6208801269531,-0.1672355979681015,1,23.5504,0.3049,22.1757,0.0373,21.7441,0.0358,21.7447,0.0494,21.3289,0.1232,0.4064645565085144
1424,333.68890380859375,-0.489069402217865,1,17.211,0.0077,15.386,0.0013,14.5729,9.0E-4,14.2182,8.0E-4,13.9832,0.0018,1.9085031330316842
1426,333.6951599121094,0.5563746094703674,0,19.6633,0.0261,18.2514,0.0049,17.6396,0.0039,17.4059,0.0041,17.2809,0.0098,3.5127314389235575
